Day/Classroom,Hour,1,2,3,4,5
Monday,0,3,0,0,0,13
,1,18,0,0,3,0
,2,0,6,1,8,0
,3,17,4,0,1,15

Tuesday,0,3,0,0,0,13
,1,0,6,1,8,0
,2,0,8,2,4,10
,3,0,0,15,12,0

Wednesday,0,3,0,0,0,13
,1,17,4,0,1,15
,2,0,0,15,12,0
,3,11,9,6,9,0

Thursday,0,3,0,0,0,13
,1,0,8,2,4,10
,2,18,13,1,3,1
,3,9,0,0,5,3

Friday,0,3,0,0,0,13
,1,0,1,1,0,9
,2,4,0,15,0,6
,3,0,13,0,9,0

Monday,0,3,0,0,0,13
,1,0,0,15,12,0
,2,9,0,0,5,3
,3,15,0,0,13,8

Tuesday,0,3,0,0,0,13
,1,0,4,7,9,7
,2,6,0,0,10,5
,3,12,0,4,0,0

Wednesday,0,3,0,0,0,13
,1,18,13,1,3,1
,2,7,0,0,17,0
,3,0,0,0,10,7

Thursday,0,3,0,0,0,13
,1,11,9,6,9,0
,2,15,0,0,13,8
,3,0,5,9,0,18

Friday,0,3,0,0,0,13
,1,4,0,15,0,6
,2,0,0,0,0,10
,3,7,0,0,0,18

Monday,0,3,0,0,0,13
,1,2,7,0,1,0
,2,11,0,10,0,0
,3,0,0,0,9,6

Tuesday,0,3,0,0,0,13
,1,9,0,0,5,3
,2,0,0,0,10,7
,3,0,17,18,0,0

Wednesday,0,3,0,0,0,13
,1,7,0,15,0,13
,2,5,0,0,8,16
,3,0,0,0,15,0

Thursday,0,3,0,0,0,13
,1,6,0,0,10,5
,2,0,0,0,0,3
,3,2,0,0,0,0

Friday,0,3,0,0,0,13
,1,0,13,0,9,0
,2,7,0,0,0,18
,3,9,0,0,5,0

Monday,0,3,0,0,0,13
,1,7,0,0,17,0
,2,0,2,0,0,0
,3,0,9,0,18,6

Tuesday,0,3,0,0,0,13
,1,15,6,0,0,11
,2,0,9,0,10,0
,3,8,0,2,0,0

Wednesday,0,3,0,0,0,13
,1,15,0,0,13,8
,2,0,17,18,0,0
,3,0,2,17,10,0

Thursday,0,3,0,0,0,13
,1,13,17,7,3,0
,2,0,0,4,0,0
,3,5,13,14,0,14

Friday,0,3,0,0,0,13
,1,0,0,0,0,10
,2,0,12,0,1,1
,3,0,13,0,17,0

